Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.5, AHC : 2.0, drop rate : 0
Lambda : 0.5, AHC : 3.5, drop rate : 0
Lambda : 0.5, AHC : 3.5294117647058822, drop rate : 32
Lambda : 0.5, AHC : 2.3098591549295775, drop rate : 29
Lambda : 0.5, AHC : 1.0, drop rate : 89
Lambda : 0.5, AHC : 3.0, drop rate : 87
Lambda : 0.5, AHC : 2.0, drop rate : 76
Lambda : 0.5, AHC : 4.085714285714285, drop rate : 65
Lambda : 0.5, AHC : 1.9, drop rate : 70
Lambda : 0.5, AHC : 2.4516129032258065, drop rate : 69
Lambda : 0.5, AHC : 1.7777777777777777, drop rate : 64
Lambda : 0.5, AHC : 1.0, drop rate : 89
Lambda : 0.5, AHC : 2.588235294117647, drop rate : 66
Lambda : 0.5, AHC : 1.0, drop rate : 93
Lambda : 0.5, AHC : 2.217391304347826, drop rate : 77
Lambda : 0.5, AHC : 1.88, drop rate : 75
Lambda : 0.5, AHC : 3.742857142857143, drop rate : 65
Lambda : 0.5, AHC : 1.0, drop rate : 88
Lambda : 0.5, AHC : 2.0, drop rate : 76
Lambda : 0.5, AHC : 3.032967032967033, drop rate : 9
Lambda : 0.5, AHC : 2.5238095238095237, drop rate : 58
Lambda : 0.5, AHC : 2.7, drop rate : 70
Lambda : 0.5, AHC : 1.6956521739130435, drop rate : 77
Lambda : 0.5, AHC : 1.7096774193548387, drop rate : 69
Lambda : 0.5, AHC : 2.606060606060606, drop rate : 67
Lambda : 0.5, AHC : 2.5405405405405403, drop rate : 63
Lambda : 0.5, AHC : 2.0434782608695654, drop rate : 77
Lambda : 0.5, AHC : 1.6785714285714286, drop rate : 72
Lambda : 0.5, AHC : 2.1621621621621623, drop rate : 63
Lambda : 0.5, AHC : 1.6153846153846154, drop rate : 74
Lambda : 0.5, AHC : 2.0, drop rate : 89
Lambda : 0.5, AHC : 2.7142857142857144, drop rate : 58
Lambda : 0.5, AHC : 2.0, drop rate : 55
Lambda : 0.5, AHC : 1.5714285714285714, drop rate : 65
Lambda : 0.5, AHC : 1.0, drop rate : 95
Lambda : 0.5, AHC : 2.75, drop rate : 92
Lambda : 0.5, AHC : 1.9142857142857144, drop rate : 65
Lambda : 0.5, AHC : 1.7878787878787878, drop rate : 67
Lambda : 0.5, AHC : 2.7222222222222223, drop rate : 64
Lambda : 0.5, AHC : 1.5, drop rate : 94
Lambda : 0.5, AHC : 2.8461538461538463, drop rate : 87
Lambda : 0.5, AHC : 2.5428571428571427, drop rate : 65
Lambda : 0.5, AHC : 3.5, drop rate : 66
Lambda : 0.5, AHC : 2.3658536585365852, drop rate : 59
Lambda : 0.5, AHC : 3.3181818181818183, drop rate : 56
Lambda : 0.5, AHC : 2.4324324324324325, drop rate : 63
Lambda : 0.5, AHC : 1.7297297297297298, drop rate : 63
Lambda : 0.5, AHC : 1.0, drop rate : 98
Lambda : 0.5, AHC : 3.0930232558139537, drop rate : 14
Lambda : 0.5, AHC : 2.395348837209302, drop rate : 57
Lambda : 0.5, AHC : 1.6774193548387097, drop rate : 69
Lambda : 0.5, AHC : 2.3947368421052633, drop rate : 62
Lambda : 0.5, AHC : 2.272727272727273, drop rate : 67
Lambda : 0.5, AHC : 2.9782608695652173, drop rate : 54
Lambda : 0.5, AHC : 4.641025641025641, drop rate : 61
Lambda : 0.5, AHC : 2.1666666666666665, drop rate : 94
Lambda : 0.5, AHC : 1.6666666666666667, drop rate : 91
Lambda : 0.5, AHC : 1.7142857142857142, drop rate : 93
Lambda : 0.5, AHC : 2.5, drop rate : 84
Lambda : 0.5, AHC : 1.0, drop rate : 92
Lambda : 0.5, AHC : 1.625, drop rate : 68
Lambda : 0.5, AHC : 2.0, drop rate : 74
Lambda : 0.5, AHC : 1.542857142857143, drop rate : 65
Lambda : 0.5, AHC : 4.176470588235294, drop rate : 66
Lambda : 0.5, AHC : 2.625, drop rate : 92
Lambda : 0.5, AHC : 2.6666666666666665, drop rate : 67
Lambda : 0.5, AHC : 2.5, drop rate : 64
Lambda : 0.5, AHC : 1.6764705882352942, drop rate : 66
Lambda : 0.5, AHC : 2.5681818181818183, drop rate : 56
Lambda : 0.5, AHC : 1.3636363636363635, drop rate : 89
Lambda : 0.5, AHC : 2.7209302325581395, drop rate : 57
Lambda : 0.5, AHC : 1.368421052631579, drop rate : 81
Lambda : 0.5, AHC : 2.0, drop rate : 67
Lambda : 0.5, AHC : 2.6666666666666665, drop rate : 91
Lambda : 0.5, AHC : 2.4, drop rate : 90
Lambda : 0.5, AHC : 1.7272727272727273, drop rate : 89
Lambda : 0.5, AHC : 4.34375, drop rate : 68
Lambda : 0.5, AHC : 1.0, drop rate : 91
Lambda : 0.5, AHC : 2.533333333333333, drop rate : 85
Lambda : 0.5, AHC : 2.5454545454545454, drop rate : 89
Lambda : 0.5, AHC : 2.6666666666666665, drop rate : 91
Lambda : 0.5, AHC : 1.0, drop rate : 89
Lambda : 0.5, AHC : 2.6666666666666665, drop rate : 61
Lambda : 0.5, AHC : 3.4545454545454546, drop rate : 67
Lambda : 0.5, AHC : 2.8285714285714287, drop rate : 65
Lambda : 0.5, AHC : 1.5333333333333334, drop rate : 85
Lambda : 0.5, AHC : 2.380952380952381, drop rate : 58
Lambda : 0.5, AHC : 2.9310344827586206, drop rate : 71
Lambda : 0.5, AHC : 3.1470588235294117, drop rate : 66
Lambda : 0.5, AHC : 3.066666666666667, drop rate : 40
Lambda : 0.5, AHC : 1.0, drop rate : 91
Lambda : 0.5, AHC : 1.4444444444444444, drop rate : 91
Lambda : 0.5, AHC : 1.4210526315789473, drop rate : 81
Lambda : 0.5, AHC : 1.0, drop rate : 90
Lambda : 0.5, AHC : 2.5, drop rate : 88
Lambda : 0.5, AHC : 2.4893617021276597, drop rate : 53
Lambda : 0.8, AHC : 1.0, drop rate : 0
Lambda : 0.8, AHC : 1.0, drop rate : 43
Lambda : 0.8, AHC : 2.0, drop rate : 59
Lambda : 0.8, AHC : 8.0, drop rate : 79
Lambda : 0.8, AHC : 1.393939393939394, drop rate : 67
Lambda : 0.8, AHC : 4.6, drop rate : 65
Lambda : 0.8, AHC : 1.0, drop rate : 72
Lambda : 0.8, AHC : 2.0, drop rate : 90
Lambda : 0.8, AHC : 3.6666666666666665, drop rate : 61
Lambda : 0.8, AHC : 3.3666666666666667, drop rate : 40
Lambda : 0.8, AHC : 4.666666666666667, drop rate : 52
Lambda : 0.8, AHC : 6.098360655737705, drop rate : 39
Lambda : 0.8, AHC : 2.918032786885246, drop rate : 39
Lambda : 0.8, AHC : 3.8225806451612905, drop rate : 38
Lambda : 0.8, AHC : 2.8363636363636364, drop rate : 45
Lambda : 0.8, AHC : 1.0, drop rate : 92
Lambda : 0.8, AHC : 3.7142857142857144, drop rate : 37
Lambda : 0.8, AHC : 2.8214285714285716, drop rate : 44
Lambda : 0.8, AHC : 2.7714285714285714, drop rate : 30
Lambda : 0.8, AHC : 5.72, drop rate : 50
Lambda : 0.8, AHC : 5.560975609756097, drop rate : 59
Lambda : 0.8, AHC : 3.0727272727272728, drop rate : 45
Lambda : 0.8, AHC : 3.611111111111111, drop rate : 46
Lambda : 0.8, AHC : 3.2653061224489797, drop rate : 51
Lambda : 0.8, AHC : 2.3773584905660377, drop rate : 47
Lambda : 0.8, AHC : 3.5714285714285716, drop rate : 30
Lambda : 0.8, AHC : 3.5833333333333335, drop rate : 28
Lambda : 0.8, AHC : 3.388059701492537, drop rate : 33
Lambda : 0.8, AHC : 3.980392156862745, drop rate : 49
Lambda : 0.8, AHC : 2.72972972972973, drop rate : 26
Lambda : 0.8, AHC : 3.3698630136986303, drop rate : 27
Lambda : 0.8, AHC : 3.1041666666666665, drop rate : 52
Lambda : 0.8, AHC : 3.268292682926829, drop rate : 59
Lambda : 0.8, AHC : 1.0, drop rate : 91
Lambda : 0.8, AHC : 2.5892857142857144, drop rate : 44
Lambda : 0.8, AHC : 3.2916666666666665, drop rate : 52
Lambda : 0.8, AHC : 3.288135593220339, drop rate : 41
Lambda : 0.8, AHC : 2.823529411764706, drop rate : 49
Lambda : 0.8, AHC : 2.0, drop rate : 95
Lambda : 0.8, AHC : 2.857142857142857, drop rate : 51
Lambda : 0.8, AHC : 2.7547169811320753, drop rate : 47
Lambda : 0.8, AHC : 2.8421052631578947, drop rate : 43
Lambda : 0.8, AHC : 3.358490566037736, drop rate : 47
Lambda : 0.8, AHC : 3.0, drop rate : 89
Lambda : 0.8, AHC : 2.0, drop rate : 89
Lambda : 0.8, AHC : 2.5090909090909093, drop rate : 45
Lambda : 0.8, AHC : 1.7, drop rate : 90
Lambda : 0.8, AHC : 2.0, drop rate : 92
Lambda : 0.8, AHC : 2.625, drop rate : 52
Lambda : 0.8, AHC : 3.262295081967213, drop rate : 39
Lambda : 0.8, AHC : 1.6666666666666667, drop rate : 91
Lambda : 0.8, AHC : 1.6666666666666667, drop rate : 94
Lambda : 0.8, AHC : 3.1842105263157894, drop rate : 62
Lambda : 0.8, AHC : 1.0, drop rate : 89
Lambda : 0.8, AHC : 2.0, drop rate : 90
Lambda : 0.8, AHC : 2.4318181818181817, drop rate : 56
Lambda : 0.8, AHC : 2.6, drop rate : 90
Lambda : 0.8, AHC : 2.0, drop rate : 90
Lambda : 0.8, AHC : 1.3846153846153846, drop rate : 87
Lambda : 0.8, AHC : 2.441860465116279, drop rate : 57
Lambda : 0.8, AHC : 1.25, drop rate : 92
Lambda : 0.8, AHC : 1.0, drop rate : 92
Lambda : 0.8, AHC : 1.0, drop rate : 88
Lambda : 0.8, AHC : 2.2962962962962963, drop rate : 73
Lambda : 0.8, AHC : 2.0, drop rate : 89
Lambda : 0.8, AHC : 1.625, drop rate : 76
Lambda : 0.8, AHC : 1.3333333333333333, drop rate : 88
Lambda : 0.8, AHC : 2.9166666666666665, drop rate : 88
Lambda : 0.8, AHC : 1.4, drop rate : 85
Lambda : 0.8, AHC : 2.9411764705882355, drop rate : 66
Lambda : 0.8, AHC : 1.7857142857142858, drop rate : 86
Lambda : 0.8, AHC : 2.823529411764706, drop rate : 83
Lambda : 0.8, AHC : 2.5384615384615383, drop rate : 87
Lambda : 0.8, AHC : 2.4210526315789473, drop rate : 81
Lambda : 0.8, AHC : 2.230769230769231, drop rate : 74
Lambda : 0.8, AHC : 2.951219512195122, drop rate : 59
Lambda : 0.8, AHC : 1.8421052631578947, drop rate : 81
Lambda : 0.8, AHC : 1.6428571428571428, drop rate : 86
Lambda : 0.8, AHC : 1.5238095238095237, drop rate : 79
Lambda : 0.8, AHC : 1.3333333333333333, drop rate : 82
Lambda : 0.8, AHC : 2.7857142857142856, drop rate : 86
Lambda : 0.8, AHC : 2.7, drop rate : 80
Lambda : 0.8, AHC : 2.5483870967741935, drop rate : 69
Lambda : 0.8, AHC : 2.7, drop rate : 80
Lambda : 0.8, AHC : 2.3125, drop rate : 84
Lambda : 0.8, AHC : 3.0, drop rate : 83
Lambda : 0.8, AHC : 2.586206896551724, drop rate : 71
Lambda : 0.8, AHC : 1.7727272727272727, drop rate : 78
Lambda : 0.8, AHC : 1.95, drop rate : 80
Lambda : 0.8, AHC : 1.75, drop rate : 88
Lambda : 0.8, AHC : 1.1818181818181819, drop rate : 89
Lambda : 0.8, AHC : 2.0, drop rate : 96
Lambda : 0.8, AHC : 2.0, drop rate : 82
Lambda : 0.8, AHC : 1.0, drop rate : 96
